Drug,Cell_Line,Predicted_IC50
Epirubicin,YH-13,0.30316576
Tozasertib,SU-DHL-4,0.30355367
Sabutoclax,SU-DHL-10,0.30363175
Dasatinib,CRO-AP2,0.30386612
ABT737,OCI-LY-19,0.30393636
Teniposide,A4-Fuk,0.30399147
Luminespib,SU-DHL-8,0.3040155
Topotecan,Farage,0.30444032
Topotecan,SU-DHL-10,0.30473584
Lestaurtinib,CRO-AP2,0.30491415
MG-132,NU-DUL-1,0.30497903
Epirubicin,KARPAS-1106P,0.3052723
Paclitaxel,D-392MG,0.3052812
MG-132,M059J,0.30534583
Pictilisib,SU-DHL-5,0.30549052
Topotecan,TUR,0.3060579
MG-132,SU-DHL-4,0.30613396
Topotecan,SLVL,0.30632523
Vinblastine,LN-18,0.30640262
Epirubicin,KARPAS-422,0.30642867
AZD7762,CTB-1,0.30669987
Dactolisib,RC-K8,0.3067102
Gemcitabine,Becker,0.306791
Staurosporine,SF268,0.30679187
Afuresertib,WSU-DLCL2,0.3070611
Docetaxel,LN-18,0.308063
MG-132,GAMG,0.308072
BI-2536,YH-13,0.30819806
BI-2536,D-336MG,0.3087038
Staurosporine,SU-DHL-8,0.30877152
Lestaurtinib,KARPAS-1106P,0.30883121
MG-132,CTB-1,0.30892923
Dactolisib,LN-18,0.30898595
Schweinfurthin A,SLVL,0.30950546
ABT737,DOHH-2,0.3097274
MG-132,KARPAS-1106P,0.30996126
SN-38,SW1088,0.31006083
Dactinomycin,LN-229,0.3102205
Taselisib,SU-DHL-6,0.3104515
Teniposide,VAL,0.31049758
Lestaurtinib,SU-DHL-8,0.31074673
Alisertib,A4-Fuk,0.3107949
Schweinfurthin A,DB,0.31082535
Dactolisib,KALS-1,0.31090555
Dinaciclib,SF268,0.31108087
MG-132,D-336MG,0.31115526
Vincristine,D-263MG,0.3115752
OTX015,CRO-AP2,0.31159043
Rapamycin,U251,0.31175178
SN-38,LN-229,0.31207493
MG-132,Farage,0.3121452
MG-132,Hs-683,0.31247288
MG-132,SF539,0.31332856
Schweinfurthin A,TUR,0.31338972
Sabutoclax,SCC-3,0.31378826
Rapamycin,U-87-MG,0.31385878
Uprosertib,SU-DHL-6,0.31426314
Schweinfurthin A,H4,0.31436998
Sabutoclax,MC116,0.31444764
Pevonedistat,NU-DUL-1,0.3146008
Camptothecin,no-10,0.3146982
Gemcitabine,42-MG-BA,0.31536722
AZD7762,SU-DHL-4,0.3154508
Dactolisib,no-10,0.31564653
Epirubicin,SF126,0.3157274
Sabutoclax,SU-DHL-4,0.3158222
Uprosertib,WSU-DLCL2,0.31587204
Gemcitabine,U-118-MG,0.3159502
Camptothecin,KS-1,0.31602854
Tozasertib,SU-DHL-16,0.31617758
MK-1775,CRO-AP2,0.31625646
Methotrexate,JSC-1,0.31669292
Sabutoclax,CRO-AP2,0.31673914
MG-132,MOG-G-CCM,0.31678575
MK-1775,DOHH-2,0.3168675
Gemcitabine,A172,0.31694767
Temsirolimus,A4-Fuk,0.3170534
Sabutoclax,KARPAS-1106P,0.31707883
Docetaxel,GRANTA-519,0.31724143
Topotecan,H4,0.31728548
Lestaurtinib,MOG-G-UVW,0.31741035
MG-132,SK-MG-1,0.3174665
AZD7762,NU-DUL-1,0.31829762
Podophyllotoxin bromide,A172,0.3186019
Elesclomol,YKG-1,0.3187834
Alisertib,NU-DUL-1,0.31879961
Epirubicin,GRANTA-519,0.31891224
Alisertib,A3-KAW,0.3189472
Elesclomol,SNB75,0.31905755
Temsirolimus,MC116,0.31924313
Temsirolimus,KARPAS-422,0.3196079
Docetaxel,KINGS-1,0.31962147
OTX015,A3-KAW,0.31967902
Uprosertib,SU-DHL-6,0.32018396
AZD8055,A3-KAW,0.32033846
Pevonedistat,SLVL,0.320608
AZD7762,A4-Fuk,0.3208745
Podophyllotoxin bromide,SU-DHL-8,0.32093388
Elesclomol,no-10,0.32126123
Dactolisib,CAS-1,0.32127437
Lestaurtinib,RL,0.32129142
MG-132,WSU-DLCL2,0.32201287
AZD8055,WSU-DLCL2,0.32232836
Epirubicin,GI-1,0.3227541
AZD7762,MC116,0.3227903
ABT737,GRANTA-519,0.32280323
Venetoclax,SU-DHL-6,0.3228442
MK-1775,SCC-3,0.32288253
MG-132,no-10,0.3230689
Afuresertib,SU-DHL-16,0.32315874
AZD5153,SU-DHL-10,0.32317147
MG-132,D-423MG,0.3237837
MG-132,JEKO-1,0.3242901
MG-132,RC-K8,0.32470062
Camptothecin,SW1088,0.32480276
Temsirolimus,VAL,0.32517064
Sabutoclax,KARPAS-422,0.32586807
MG-132,CRO-AP2,0.32620034
PD0325901,A4-Fuk,0.32689285
AZD7762,DOHH-2,0.32712293
GNE-317,SU-DHL-16,0.32741416
ABT737,DB,0.32744172
LMP744,GI-1,0.3280157
MG-132,D-392MG,0.32807603
Tanespimycin,SF126,0.32817048
Dinaciclib,U-118-MG,0.3282486
Tanespimycin,SF539,0.3283034
Pictilisib,DOHH-2,0.32836598
OTX015,SU-DHL-16,0.32848856
Docetaxel,DK-MG,0.328771
Lestaurtinib,H4,0.32890338
JQ1,SU-DHL-5,0.32900968
LMP744,SF539,0.3292573
Taselisib,DOHH-2,0.32954666
Vincristine,SK-MG-1,0.32958567
Vinorelbine,GB-1,0.3295959
Afuresertib,DOHH-2,0.3296289
Cytarabine,VAL,0.3299746
AZD7762,SLVL,0.33016127
AZD7762,H4,0.33027557
Staurosporine,JM1,0.33032486
MG-132,CAS-1,0.3303353
Ipatasertib,SU-DHL-6,0.33049548
MK-1775,BC-1,0.33053324
Tanespimycin,CRO-AP2,0.33056432
AZD5991,BC-1,0.33063355
GNE-317,DOHH-2,0.3308451
Temsirolimus,D-336MG,0.33098468
Sabutoclax,JEKO-1,0.3312839
Venetoclax,SLVL,0.33132643
Topotecan,RC-K8,0.33183745
Sabutoclax,VAL,0.33206895
Dactolisib,AM-38,0.33248034
MG-132,SU-DHL-8,0.33271918
Daporinad,D-542MG,0.3328416
MG-132,JM1,0.33295092
Methotrexate,A3-KAW,0.33305088
Staurosporine,DBTRG-05MG,0.33328503
Tanespimycin,MOG-G-UVW,0.33384582
GNE-317,NU-DUL-1,0.3339492
Pevonedistat,A4-Fuk,0.33396137
Epirubicin,SF295,0.3339723
MK-2206,SU-DHL-16,0.33445805
GNE-317,A4-Fuk,0.33448282
AZD7762,KARPAS-1106P,0.33480197
Pictilisib,WSU-DLCL2,0.3355115
Pevonedistat,TUR,0.33562
AZD7762,RL,0.33594698
Rapamycin,GRANTA-519,0.33636612
Dactolisib,KINGS-1,0.3365195
JQ1,OCI-LY-19,0.3368872
Navitoclax,DOHH-2,0.33698732
MG-132,SCC-3,0.33700976
Dactolisib,DK-MG,0.3370152
Dasatinib,SU-DHL-4,0.33702758
Paclitaxel,no-11,0.33753705
Afuresertib,SU-DHL-5,0.3375424
Pevonedistat,JSC-1,0.33755955
MG-132,D-542MG,0.33783224
Telomerase Inhibitor IX,DOHH-2,0.33783707
Vinblastine,LN-229,0.33828363
Methotrexate,Farage,0.33856723
AZD7762,JEKO-1,0.33865535
Camptothecin,LN-18,0.33885917
Camptothecin,MOG-G-CCM,0.33887598
Mitoxantrone,TK,0.3389679
Teniposide,SF539,0.33963048
Podophyllotoxin bromide,KARPAS-1106P,0.3397132
Temsirolimus,CTB-1,0.33996186
Dinaciclib,SU-DHL-8,0.34007272
AZ960,CTB-1,0.34020546
Methotrexate,RC-K8,0.34024623
AZD8055,KARPAS-1106P,0.3403034
AZD5363,WSU-DLCL2,0.34048054
Teniposide,TK,0.34053817
MG-132,MC116,0.34054166
Venetoclax,OCI-LY-19,0.3405875
Rapamycin,SU-DHL-8,0.3406884
MG-132,8-MG-BA,0.34078255
Navitoclax,SU-DHL-16,0.34120938
Lestaurtinib,JM1,0.34127763
MG-132,A4-Fuk,0.34161222
Tanespimycin,KALS-1,0.34164846
GNE-317,BC-1,0.34170642
Podophyllotoxin bromide,GI-1,0.34173122
Tanespimycin,D-336MG,0.3418951
Podophyllotoxin bromide,SF539,0.34224623
MK-1775,JEKO-1,0.34276146
Bromosporine,A3-KAW,0.34283933
Gemcitabine,YH-13,0.34318292
Cytarabine,JSC-1,0.34322828
Irinotecan,OCI-LY-19,0.34335062
Tanespimycin,Hs-683,0.34337166
Gemcitabine,LNZTA3WT4,0.34339297
Epirubicin,T98G,0.34354883
Venetoclax,Farage,0.34406224
Podophyllotoxin bromide,RC-K8,0.34433764
Pictilisib,A4-Fuk,0.3446263
Alisertib,WSU-DLCL2,0.3446318
AZD7762,VAL,0.34475225
Dactolisib,U-118-MG,0.34497198
Podophyllotoxin bromide,GRANTA-519,0.34499782
Teniposide,H4,0.34504485
JQ1,CRO-AP2,0.34561568
Pevonedistat,SU-DHL-8,0.34590143
Navitoclax,VAL,0.3460037
MK-1775,MC116,0.34636787
Teniposide,42-MG-BA,0.3465924
JQ1,CTB-1,0.34737653
BI-2536,YKG-1,0.34745076
BI-2536,SF295,0.34766638
JQ1,SU-DHL-6,0.34766826
AZD7762,DB,0.3477477
Dasatinib,YH-13,0.34812772
Gemcitabine,SF295,0.34842855
OTX015,SU-DHL-5,0.3486711
Teniposide,KARPAS-1106P,0.34919676
Elesclomol,D-542MG,0.349384
Trametinib,A3-KAW,0.3495241
AZD7762,TUR,0.34991524
BI-2536,KALS-1,0.35004556
Teniposide,TUR,0.3503894
Rapamycin,KNS-81-FD,0.35059047
Teniposide,RC-K8,0.3506232
Temsirolimus,SF295,0.35063004
Mitoxantrone,42-MG-BA,0.35066956
Dasatinib,SW1088,0.35079163
MG-132,LN-229,0.35100317
Epirubicin,D-263MG,0.35101727
MK-1775,JSC-1,0.35114494
AZD8055,GI-1,0.35123312
GNE-317,SU-DHL-5,0.35138154
BI-2536,SF268,0.35138184
Obatoclax Mesylate,Farage,0.35152686
Topotecan,U251,0.35162753
Dactinomycin,NMC-G1,0.35181335
Docetaxel,LN-229,0.35232717
Venetoclax,SU-DHL-8,0.3523864
Dactolisib,TK,0.3524858
Elesclomol,Hs-683,0.35276407
Camptothecin,KNS-81-FD,0.35288262
Docetaxel,KARPAS-422,0.353126
Epirubicin,U251,0.35347405
MG-132,U-118-MG,0.3537124
Dasatinib,OCI-LY-19,0.35378826
ABT737,RL,0.35402018
Lestaurtinib,SF539,0.35424042
Dactolisib,D-502MG,0.35435197
Schweinfurthin A,GI-1,0.35436556
Tanespimycin,SU-DHL-6,0.3551952
Navitoclax,GRANTA-519,0.35599285
Foretinib,A3-KAW,0.3563109
GNE-317,A3-KAW,0.35677415
Pevonedistat,BC-1,0.35692593
MG-132,TK,0.35701436
Epirubicin,D-423MG,0.3573398
Podophyllotoxin bromide,Becker,0.35751483
Lestaurtinib,OCI-LY-19,0.3576646
Temsirolimus,MOG-G-UVW,0.357676
Temsirolimus,SW1088,0.3577046
BI-2536,U251,0.3578563
Entinostat,A3-KAW,0.35786563
AZD5438,A3-KAW,0.35813764
Alisertib,BC-1,0.35827363
AZD5153,KARPAS-422,0.35827866
Epirubicin,U-87-MG,0.3587212
Rapamycin,KNS-42,0.35889554
Tanespimycin,D-392MG,0.35895988
Tozasertib,OCI-LY-19,0.35902926
Dactinomycin,GB-1,0.35928115
Ulixertinib,A4-Fuk,0.3597268
Tanespimycin,MOG-G-CCM,0.3599142
Podophyllotoxin bromide,KARPAS-422,0.36006862
AZD8055,VAL,0.36007193
BI-2536,D-263MG,0.36019403
Epirubicin,KS-1,0.36019477
SN-38,DK-MG,0.36025378
LMP744,KARPAS-422,0.36034158
AZD8055,H4,0.36035657
Afuresertib,SU-DHL-10,0.3606703
Schweinfurthin A,8-MG-BA,0.36073732
Vincristine,U-118-MG,0.3608926
BI-2536,M059J,0.3609443
Dinaciclib,U-87-MG,0.36097932
Wee1 Inhibitor,NU-DUL-1,0.36107028
LMP744,Becker,0.36107302
Temsirolimus,H4,0.36108196
AZD8055,MOG-G-CCM,0.36112925
AZD6738,A4-Fuk,0.36129656
Dinaciclib,YKG-1,0.36142698
Paclitaxel,CAS-1,0.3614905
AZD7762,OCI-LY-19,0.3614986
Alisertib,H4,0.3615411
BI-2536,LN-18,0.36167505
Tanespimycin,H4,0.36179084
MK-1775,VAL,0.3620121
Teniposide,KARPAS-422,0.3622978
LMP744,AM-38,0.36231363
MG-132,D-566MG,0.36263043
Temsirolimus,Becker,0.3632124
Talazoparib,SCC-3,0.3633917
Mitoxantrone,KARPAS-1106P,0.3634396
Obatoclax Mesylate,SK-MG-1,0.36355954
Temsirolimus,LNZTA3WT4,0.36358854
Tanespimycin,KS-1,0.36378863
AZD8186,SU-DHL-16,0.3640161
Irinotecan,DOHH-2,0.3640547
Lestaurtinib,TUR,0.364677
GNE-317,42-MG-BA,0.36472294
Teniposide,GI-1,0.3648061
Dasatinib,H4,0.3649358
Lestaurtinib,A172,0.36599255
Tanespimycin,DK-MG,0.3660679
Uprosertib,SU-DHL-5,0.36626592
Talazoparib,NU-DUL-1,0.3663371
Methotrexate,SU-DHL-5,0.3664276
Temsirolimus,SF126,0.3667367
MK-1775,KARPAS-1106P,0.36676198
MK-1775,SU-DHL-16,0.36690828
Elesclomol,KNS-81-FD,0.36702797
Irinotecan,CTB-1,0.3670688
Topotecan,U-118-MG,0.3671231
AZD8055,SCC-3,0.36757046
JQ1,JSC-1,0.3676476
Epirubicin,D-336MG,0.36768854
Telomerase Inhibitor IX,A3-KAW,0.36782894
MK-1775,SU-DHL-10,0.3678784
GNE-317,A172,0.36788443
Venetoclax,RL,0.36808553
Camptothecin,D-502MG,0.368587
Tanespimycin,AM-38,0.36876377
Dasatinib,D-247MG,0.368855
SN-38,KINGS-1,0.3690635
Obatoclax Mesylate,AM-38,0.36912525
AZD7762,GI-1,0.36930794
Wee1 Inhibitor,SCC-3,0.36979356
Uprosertib,Farage,0.37003946
GNE-317,CRO-AP2,0.37055367
Luminespib,KINGS-1,0.3706036
AZD8055,M059J,0.37077984
AZD8186,Farage,0.3709236
MG-132,Becker,0.37100324
Podophyllotoxin bromide,42-MG-BA,0.37128136
Foretinib,SW1088,0.37132746
JQ1,DOHH-2,0.37176764
Sabutoclax,GB-1,0.37215304
Taselisib,Farage,0.37220946
OTX015,A4-Fuk,0.37230265
POMHEX,TK,0.37280443
Rapamycin,D-502MG,0.37301403
AZD7762,8-MG-BA,0.3731151
Talazoparib,OCI-LY-19,0.37315038
Buparlisib,SU-DHL-5,0.37332785
Cytarabine,WSU-DLCL2,0.37375197
Vorinostat,DOHH-2,0.37386882
Telomerase Inhibitor IX,Farage,0.37392154
Obatoclax Mesylate,SCC-3,0.37396714
YK-4-279,NU-DUL-1,0.3741922
LMP744,M059J,0.37430528
Obatoclax Mesylate,BC-1,0.37441978
MK-2206,DOHH-2,0.3747439
Mycophenolic acid,BC-1,0.37477425
AZD8055,8-MG-BA,0.374778
I-BET-762,A4-Fuk,0.37478364
Elesclomol,D-502MG,0.3749575
Podophyllotoxin bromide,TK,0.3753724
AZD6738,JEKO-1,0.37549582
Docetaxel,D-392MG,0.37553528
Pictilisib,BC-1,0.3762594
Dactolisib,KNS-81-FD,0.3763725
Schweinfurthin A,SF539,0.37639153
Podophyllotoxin bromide,T98G,0.37655428
Foretinib,CTB-1,0.37668812
Topotecan,SF268,0.37677136
Sabutoclax,SF539,0.37694693
OTX015,SU-DHL-10,0.377079
AZD8055,A172,0.37764817
AZD5153,SCC-3,0.377946
Dasatinib,SU-DHL-10,0.3779532
Talazoparib,A3-KAW,0.37798685
Lestaurtinib,GRANTA-519,0.37799963
Temsirolimus,YH-13,0.37806076
Irinotecan,NU-DUL-1,0.3781751
MK-1775,TK,0.37823486
Telomerase Inhibitor IX,TUR,0.37840006
AZD8055,GAMG,0.3784378
Gemcitabine,LN-18,0.3789336
Gemcitabine,SW1088,0.37907806
Obatoclax Mesylate,A3-KAW,0.3791571
Dactinomycin,CAS-1,0.3792322
Cytarabine,GRANTA-519,0.37928918
Vincristine,U-87-MG,0.379403
Dactolisib,GRANTA-519,0.37945855
BI-2536,KNS-42,0.37965387
Foretinib,YH-13,0.38002473
Schweinfurthin A,U-87-MG,0.38008714
Pictilisib,42-MG-BA,0.38016665
667880,SU-DHL-5,0.38017884
Sabutoclax,D-566MG,0.3802136
AZD5438,SU-DHL-5,0.38036743
Gemcitabine,SNB75,0.380587
JQ1,SU-DHL-10,0.38059115
AZD8055,LNZTA3WT4,0.38062936
TW 37,VAL,0.38066217
Entinostat,SU-DHL-5,0.3806811
AZ960,MC116,0.38073105
Pictilisib,MC116,0.38073763
Tanespimycin,8-MG-BA,0.38075125
POMHEX,DB,0.38079715
Dasatinib,VAL,0.38084805
Mitoxantrone,AM-38,0.381088
MG-132,SF268,0.38110548
MK-1775,SU-DHL-8,0.3813588
ZM447439,DOHH-2,0.38143456
Taselisib,SU-DHL-5,0.38161004
Alisertib,SU-DHL-6,0.38176036
Entinostat,DOHH-2,0.38183445
Wee1 Inhibitor,OCI-LY-19,0.38201222
Cytarabine,A4-Fuk,0.3822562
Gemcitabine,YKG-1,0.38244373
BI-2536,D-542MG,0.38279137
667880,DOHH-2,0.382861
GSK2110183B,DOHH-2,0.3829135
Mycophenolic acid,SU-DHL-5,0.38310626
AZ960,JEKO-1,0.38323689
Wee1 Inhibitor,JM1,0.38331175
AZ960,OCI-LY-19,0.38370886
Foretinib,OCI-LY-19,0.38370907
GNE-317,SU-DHL-4,0.38372418
Foretinib,VAL,0.38385224
667880,A3-KAW,0.38393807
Pictilisib,SW1088,0.38405254
Vorinostat,SU-DHL-5,0.38406804
Podophyllotoxin bromide,AM-38,0.38441113
Sabutoclax,42-MG-BA,0.38441363
Tanespimycin,DOHH-2,0.38442138
Dasatinib,Hs-683,0.3844732
Irinotecan,CRO-AP2,0.38448933
Telomerase Inhibitor IX,JSC-1,0.38461772
Vincristine,D-392MG,0.3852794
Tanespimycin,RL,0.38530037
Vinorelbine,U-87-MG,0.38534984
Gemcitabine,GB-1,0.38535377
AZD8186,SU-DHL-6,0.38548222
Tanespimycin,MC116,0.3855079
Cytarabine,KARPAS-1106P,0.38559648
Telomerase Inhibitor IX,JEKO-1,0.38569584
GNE-317,TUR,0.38577855
BI-2536,D-392MG,0.38585964
AZ960,BC-1,0.38591385
Sabutoclax,SF126,0.3861273
Tanespimycin,SU-DHL-16,0.38623747
Sabutoclax,YH-13,0.3866201
Alisertib,SCC-3,0.38679504
GNE-317,SW1088,0.3869791
Pevonedistat,JEKO-1,0.3869816
Temsirolimus,A3-KAW,0.38706875
Methotrexate,AM-38,0.38711083
Wee1 Inhibitor,SU-DHL-16,0.38716432
Entinostat,CRO-AP2,0.38742858
Foretinib,MOG-G-UVW,0.38747954
Obatoclax Mesylate,SLVL,0.38750717
Alisertib,VAL,0.38771743
Vinorelbine,DBTRG-05MG,0.38772067
Dasatinib,GAMG,0.38784808
Staurosporine,NMC-G1,0.38814354
LMP744,42-MG-BA,0.3882806
AZD5438,SU-DHL-10,0.38837206
Alisertib,SU-DHL-4,0.38838053
Methotrexate,DB,0.38852534
AZ960,D-336MG,0.38881168
Podophyllotoxin bromide,U251,0.3888624
AZD5582,SU-DHL-16,0.38901252
GNE-317,GAMG,0.38901663
Bosutinib,SU-DHL-16,0.38905832
Vorinostat,OCI-LY-19,0.38920853
Vincristine,DK-MG,0.38926712
Sabutoclax,GAMG,0.3893641
Cisplatin,A3-KAW,0.38939416
Teniposide,GAMG,0.38940054
Dinaciclib,KNS-81-FD,0.38978434
Afuresertib,Farage,0.38991612
Tanespimycin,T98G,0.389921
AZD8055,SF539,0.3900023
AZD7762,GRANTA-519,0.3900128
Refametinib,A4-Fuk,0.39013147
Teniposide,Becker,0.39023063
Telomerase Inhibitor IX,MC116,0.39028326
Foretinib,RL,0.39032164
Bosutinib,DOHH-2,0.39032277
Dasatinib,MOG-G-UVW,0.39044705
Tanespimycin,CAS-1,0.3904999
AZD8055,Becker,0.39057875
Pevonedistat,D-336MG,0.390605
Wee1 Inhibitor,Farage,0.39077532
630600,TK,0.3907993
Dihydrorotenone,SU-DHL-8,0.3909386
Navitoclax,WSU-DLCL2,0.39103284
Pevonedistat,KS-1,0.3911821
Obatoclax Mesylate,LN-18,0.39147586
Talazoparib,VAL,0.39165008
TW 37,DB,0.3917513
Ipatasertib,SU-DHL-16,0.3917538
MK-1775,SF539,0.3918072
MK-8776,SCC-3,0.39184725
Pictilisib,YH-13,0.39190665
JQ1,WSU-DLCL2,0.39222452
Ulixertinib,A4-Fuk,0.39223015
Trametinib,KS-1,0.39231023
Tanespimycin,KARPAS-1106P,0.39240038
AZ960,H4,0.39247823
ABT737,TK,0.39250943
Obatoclax Mesylate,H4,0.39258957
Entinostat,NU-DUL-1,0.39269856
JQ1,SCC-3,0.39294043
Tanespimycin,NU-DUL-1,0.3932357
AZD8055,T98G,0.39326963
AZD5153,8-MG-BA,0.39344004
Daporinad,KNS-42,0.39346302
OTX015,KARPAS-422,0.39377436
Buparlisib,Farage,0.39408883
Uprosertib,SU-DHL-10,0.39409342
Tanespimycin,D-423MG,0.39449188
Tanespimycin,Becker,0.39461035
YK-4-279,JEKO-1,0.39468277
MG-132,D-502MG,0.39559636
Podophyllotoxin bromide,KALS-1,0.39570746
MK-8776,SU-DHL-8,0.39576694
AZD5153,DB,0.39597484
AZD5991,SU-DHL-6,0.3963371
AZD5438,DOHH-2,0.3965533
Cytarabine,SF539,0.3965619
Foretinib,Hs-683,0.39665255
Pevonedistat,MOG-G-UVW,0.39679438
Telomerase Inhibitor IX,SU-DHL-4,0.39689898
Temsirolimus,JSC-1,0.39697987
Lestaurtinib,LNZTA3WT4,0.39701608
Buparlisib,BC-1,0.39711887
Taselisib,SU-DHL-10,0.3972773
GNE-317,Becker,0.3976129
AZD5153,GI-1,0.39767858
Tanespimycin,no-10,0.39773583
630600,BC-1,0.3978481
Docetaxel,NMC-G1,0.39786908
YK-4-279,VAL,0.39791322
YK-4-279,OCI-LY-19,0.3979621
Entinostat,OCI-LY-19,0.39808306
Wee1 Inhibitor,JEKO-1,0.39810237
GNE-317,KS-1,0.3985031
Irinotecan,BC-1,0.39873978
AZD2014,SU-DHL-5,0.39889807
Tanespimycin,KARPAS-422,0.39916432
AZD7762,A172,0.39925975
BI-2536,SW1088,0.3992618
YK-4-279,A3-KAW,0.39942017
Epirubicin,D-392MG,0.3994426
Vincristine,CAS-1,0.39974427
LMP744,GB-1,0.3997719
Talazoparib,JEKO-1,0.4000399
Tanespimycin,BC-1,0.4000738
Talazoparib,SU-DHL-16,0.40025082
Venetoclax,RC-K8,0.40030354
TW 37,WSU-DLCL2,0.40034378
Buparlisib,JSC-1,0.40045932
Dasatinib,MOG-G-CCM,0.40047684
Vincristine,LN-229,0.4004842
Alisertib,JSC-1,0.4005933
Vorinostat,BC-1,0.40077367
Obatoclax Mesylate,A172,0.40077618
AZD8055,DK-MG,0.4008631
Obatoclax Mesylate,8-MG-BA,0.40112206
BMS-754807,DOHH-2,0.40127575
Irinotecan,SU-DHL-16,0.40143383
Vorinostat,JSC-1,0.401586
Camptothecin,D-247MG,0.40159217
Luminespib,GRANTA-519,0.40182438
Telomerase Inhibitor IX,8-MG-BA,0.40184295
Sabutoclax,Becker,0.40190092
OTX015,JEKO-1,0.4019661
Sabutoclax,A172,0.40197942
AZD6738,SCC-3,0.40198922
Dactolisib,LN-405,0.4021292
Tozasertib,Farage,0.40217263
GSK2110183B,Farage,0.40271753
Taselisib,KARPAS-422,0.4028411
Bleomycin,SU-DHL-5,0.40290388
Epirubicin,DK-MG,0.40291083
5-azacytidine,A3-KAW,0.40291837
Pictilisib,MOG-G-UVW,0.40299645
OTX015,H4,0.4032038
GNE-317,JSC-1,0.40345946
Epirubicin,D-502MG,0.40365997
Talazoparib,MC116,0.4038177
I-BET-762,SU-DHL-10,0.4041938
Topotecan,M059J,0.4042164
Pevonedistat,LN-18,0.40424904
Wee1 Inhibitor,MC116,0.40444404
Sabutoclax,U-87-MG,0.4046339
Telomerase Inhibitor IX,MOG-G-CCM,0.40465063
Wee1 Inhibitor,RL,0.4049135
Obatoclax Mesylate,DOHH-2,0.40509772
Sabutoclax,U251,0.40525773
Telomerase Inhibitor IX,VAL,0.4052607
PRT062607,SU-DHL-16,0.40552008
Alisertib,MOG-G-UVW,0.40579766
MK-1775,D-423MG,0.40583163
Trametinib,MOG-G-UVW,0.40584096
Dihydrorotenone,DOHH-2,0.40621623
Telomerase Inhibitor IX,MOG-G-UVW,0.4063411
Dactolisib,U251,0.40639114
I-BET-762,SU-DHL-6,0.40640402
AZD2014,SU-DHL-6,0.40641865
Talazoparib,SU-DHL-8,0.406469
Lestaurtinib,D-423MG,0.4069355
MK-1775,D-566MG,0.40703705
Dasatinib,GI-1,0.40704957
Venetoclax,TK,0.4070933
Mycophenolic acid,SU-DHL-8,0.40709856
Obatoclax Mesylate,GRANTA-519,0.40715536
Methotrexate,KARPAS-1106P,0.40723437
Methotrexate,TK,0.40723553
Obatoclax Mesylate,GB-1,0.407489
MG-132,DBTRG-05MG,0.40751103
Dihydrorotenone,A3-KAW,0.40764078
Mitoxantrone,A172,0.40768555
Sabutoclax,M059J,0.4076968
AZD7762,D-566MG,0.40782854
Tanespimycin,KINGS-1,0.40793657
AZD8186,NU-DUL-1,0.40797663
AZD6738,VAL,0.4079794
Vorinostat,NU-DUL-1,0.4079993
Foretinib,D-336MG,0.408247
Dihydrorotenone,SU-DHL-5,0.40828353
Uprosertib,A4-Fuk,0.408562
Ibrutinib,SU-DHL-5,0.40859082
Dactinomycin,KINGS-1,0.40861493
Dactinomycin,KINGS-1,0.40861493
YK-4-279,MC116,0.40873957
Elesclomol,D-247MG,0.40879637
LMP744,U-87-MG,0.40882185
743380,KS-1,0.40903255
Dasatinib,D-566MG,0.40911576
PD0325901,AM-38,0.40921956
741909,A3-KAW,0.40922323
AZD5991,Farage,0.40934598
Paclitaxel,DBTRG-05MG,0.40941653
741909,A4-Fuk,0.4094189
Mycophenolic acid,MOG-G-UVW,0.40972275
Tanespimycin,KNS-81-FD,0.4098847
Vorinostat,JEKO-1,0.409896
Methotrexate,NU-DUL-1,0.40990615
Lestaurtinib,Becker,0.40999806
Mitoxantrone,KARPAS-422,0.41002154
GNE-317,VAL,0.4102279
Taselisib,SW1088,0.4102322
Buparlisib,SU-DHL-16,0.41052037
BMS-754807,A4-Fuk,0.41052833
Pictilisib,D-542MG,0.41063187
Sabutoclax,SNB75,0.41077074
Lestaurtinib,M059J,0.41096815
Foretinib,CAS-1,0.41108054
Epirubicin,SNB75,0.41108546
Vinorelbine,no-11,0.4111863
Alisertib,Hs-683,0.4114216
Temsirolimus,GAMG,0.41149086
Dasatinib,SK-MG-1,0.41157869
Trametinib,SF539,0.41173854
Temsirolimus,T98G,0.41186866
Wee1 Inhibitor,A4-Fuk,0.41189155
GNE-317,DK-MG,0.41193363
Lestaurtinib,U251,0.411971
I-BET-762,CRO-AP2,0.41197255
Telomerase Inhibitor IX,WSU-DLCL2,0.4121514
Telomerase Inhibitor IX,SK-MG-1,0.41216427
Wee1 Inhibitor,TUR,0.41222084
AZD6738,OCI-LY-19,0.4122341
AZD5153,KARPAS-1106P,0.4122373
Bromosporine,SU-DHL-10,0.41238782
Wee1 Inhibitor,CRO-AP2,0.41241342
Buparlisib,H4,0.4125309
743380,A172,0.41264194
Sabutoclax,U-118-MG,0.41268265
Buparlisib,A172,0.41274387
ZM447439,SU-DHL-16,0.41286972
AZD5991,A4-Fuk,0.4131021
Topotecan,U-87-MG,0.41311204
Buparlisib,SCC-3,0.41311455
Pevonedistat,U251,0.4133668
AZD7762,AM-38,0.41340983
Sabutoclax,D-336MG,0.4134509
BMS-754807,Farage,0.41357183
I-BET-762,DOHH-2,0.41367665
Buparlisib,DOHH-2,0.41381517
JQ1,RL,0.41385877
